pinky,ring,middle,index,thumb,gesture
638,625,1293,1221,1072,"peace"
638,628,1298,1225,1059,"peace"
616,607,1287,1200,1035,"peace"
623,611,1296,1203,1051,"peace"
627,604,1299,1206,1053,"peace"
626,618,1302,1215,1060,"peace"
633,624,1311,1232,1066,"peace"
643,622,1309,1251,1074,"peace"
647,624,1336,1296,1095,"peace"
647,619,1361,1306,1104,"peace"
646,615,1347,1300,1110,"peace"
647,610,1392,1294,1127,"peace"
651,621,1420,1247,1137,"peace"
655,624,1488,1120,1158,"peace"
659,625,1457,1088,1165,"peace"
674,640,1397,1042,1165,"peace"
673,654,1294,973,1162,"peace"
679,654,1253,973,1156,"peace"
680,657,1264,961,1171,"peace"
686,677,1259,957,1180,"peace"
688,659,1259,954,1178,"peace"
702,671,1232,960,1187,"peace"
691,678,1241,964,1201,"peace"
671,656,1280,1011,1257,"peace"
626,635,1315,1050,1193,"peace"
623,644,1359,1077,1150,"peace"
612,637,1442,1091,1075,"peace"
619,619,1385,1136,1046,"peace"
602,605,1330,1183,1042,"peace"
598,605,1300,1215,1044,"peace"
597,601,1296,1232,1039,"peace"
594,601,1296,1232,1023,"peace"
590,606,1261,1240,1017,"peace"
590,608,1269,1242,1048,"peace"
592,607,1274,1251,1049,"peace"
596,605,1282,1226,1041,"peace"
598,608,1309,1254,1051,"peace"
603,612,1296,1259,1046,"peace"
605,633,1310,1255,1051,"peace"
608,619,1318,1264,1056,"peace"
614,615,1346,1275,1073,"peace"
624,611,1468,1226,1116,"peace"
656,624,1346,1119,1190,"peace"
679,657,1216,1040,1218,"peace"
722,714,1199,1018,1239,"peace"
720,706,1207,1035,1243,"peace"
727,720,1210,1069,1232,"peace"
729,721,1222,1051,1248,"peace"
720,741,1287,1058,1242,"peace"
725,702,1422,1049,1168,"peace"
704,689,1472,1107,1140,"peace"
688,687,1408,1175,1136,"peace"
684,672,1387,1239,1111,"peace"
685,695,1367,1302,1109,"peace"
679,682,1328,1345,1073,"peace"
674,677,1303,1386,1053,"peace"
655,640,1297,1351,1039,"peace"
640,655,1293,1308,1008,"peace"
638,640,1279,1301,994,"peace"
647,643,1286,1289,1015,"peace"
615,626,1290,1289,1020,"peace"
646,656,1317,1309,1014,"peace"
649,661,1325,1319,1040,"peace"
663,672,1356,1357,1070,"peace"
659,638,1374,1399,1082,"peace"
676,668,1392,1413,1083,"peace"
675,654,1454,1360,1104,"peace"
656,655,1510,1269,1149,"peace"
663,674,1491,1247,1168,"peace"
673,678,1459,1216,1187,"peace"
684,686,1405,1166,1187,"peace"
679,691,1403,1125,1194,"peace"
688,688,1393,1105,1197,"peace"
690,688,1347,1103,1184,"peace"
698,688,1357,1102,1183,"peace"
707,711,1370,1088,1171,"peace"
688,675,1449,1134,1104,"peace"
651,645,1422,1202,1072,"peace"
658,646,1398,1261,1072,"peace"
647,641,1373,1295,1070,"peace"
650,647,1351,1345,1044,"peace"
625,626,1342,1365,1037,"peace"
609,627,1331,1328,1018,"peace"
613,615,1317,1274,1030,"peace"
592,597,1286,1214,1008,"peace"
593,624,1273,1154,950,"peace"
603,626,1275,1162,955,"peace"
612,624,1284,1188,975,"peace"
623,640,1299,1188,979,"peace"
644,638,1311,1200,987,"peace"
588,653,1327,1232,1008,"peace"
667,665,1427,1331,1066,"peace"
682,656,1407,1131,1104,"peace"
669,630,1230,1043,1110,"peace"
675,661,1255,1049,1102,"peace"
694,666,1200,993,1110,"peace"
717,694,1223,1008,1098,"peace"
743,674,1409,1098,1107,"peace"
720,677,1457,1082,1107,"peace"
718,675,1374,1045,1104,"peace"
721,688,1378,1053,1108,"peace"
727,685,1392,1065,1109,"peace"
719,680,1425,1097,1108,"peace"
720,663,1457,1137,1095,"peace"
685,642,1419,1169,1050,"peace"
646,622,1392,1200,1009,"peace"
625,603,1359,1231,976,"peace"
607,575,1329,1286,942,"peace"
571,576,1317,1290,902,"peace"
576,567,1326,1264,901,"peace"
599,560,1330,1252,911,"peace"
593,592,1346,1253,914,"peace"
591,578,1367,1261,927,"peace"
596,587,1385,1248,931,"peace"
603,587,1393,1237,934,"peace"
624,608,1472,1215,990,"peace"
657,634,1488,1232,1062,"peace"
693,663,1513,1203,1146,"peace"
720,683,1491,1202,1193,"peace"
721,700,1493,1185,1205,"peace"
747,701,1483,1171,1200,"peace"
750,709,1479,1173,1205,"peace"
